ID,SPEED,TRAVEL_TIME,STATUS,DATA_AS_OF,LINK_ID,LINK_POINTS,ENCODED_POLY_LINE,ENCODED_POLY_LINE_LVLS,OWNER,TRANSCOM_ID,BOROUGH,LINK_NAME
265,54.68,135,0,2/7/2019 22:17,4620298,"40.8462505,-73.932161 40.846951,-73.933641 40.8484204,-73.937041 40.8490306,-73.93994 40.8493804,-73.94181 40.8499005,-73.944651 40.8509,-73.950381 40.85139,-73.95283 40.85186,-73.95525 40.852771,-73.95957 40.85302,-73.96052 40.8531905,-73.96133 40.853280",axhxF~zfbMkCfHeHfTyBbQeAtJgBvPgExb@aBhN}AbNuD~Yq@|Da@`DQpCY|F,BBBBBBBBBBBBBB,PA-GWBridge,4620298,Manhattan,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE
325,37.28,149,0,1/31/2019 12:53,4329472,"40.75829,-73.997531 40.7605,-74.0032 40.7620605,-74.007021 40.7662905,-74.01706",irwwFpssbMyLlb@wHzVmYv}@,BBBB,PA -Lincoln Tunnel,4329472,Manhattan,LINCOLN TUNNEL E SOUTH TUBE - NJ - NY
384,59.03,118,0,1/25/2019 20:38,4616199,"40.60213,-74.187981 40.60504,-74.185 40.60687,-74.183601 40.6098,-74.181981 40.6157705,-74.17837 40.61719,-74.177821 40.61921,-74.177141 40.620791,-74.175571 40.62154,-74.174191 40.6218804,-74.17309 40.6220405,-74.17158 40.62189,-74.17091 40.6211906,-74.1",ibyvFzyxcMeQsQmJwGiQcIid@qU{GmBsKgC{HyHuCsGcA{E_@mH\eCjCoLaCxK,BBBBBBBBBBBBBB,NYC_DOT_LIC,4616199,Staten Island,SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE
425,49.7,216,0,1/20/2019 3:28,4616276,"40.67445,-73.80181 40.67374,-73.80154 40.6726106,-73.801301 40.6708206,-73.80123 40.66752,-73.801481 40.66479,-73.802321 40.66407,-73.802511 40.6633405,-73.80229 40.6627104,-73.80149 40.66255,-73.800541 40.6627104,-73.799771 40.6631406,-73.799051 40.66481",ifgwFhlmaMlCu@`Fo@dJMrSp@`PfDnCd@pCk@|B_D^}D_@yCuAoCmIuEsCmEs@sCc@_GYyLaAa^uDuaAKqMLyT\mJ`Dij@,BBBBBBBBBBBBBBBBBBBBBBB,NYC_DOT_LIC,4616276,Queens,VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St
395,10.56,739,0,1/14/2019 8:48,4456476,"40.7723,-73.91983 40.7738304,-73.92197 40.77443,-73.92261 40.77546,-73.92346 40.7783806,-73.925631 40.78103,-73.927631 40.78363,-73.929611 40.784271,-73.92989 40.7851,-73.929971 40.7858105,-73.929841 40.78629,-73.929601 40.786801,-73.92923 40.78799,-73.92",{izwF|mdbMqHjLwB~BmEhDgQpLqOnKgOjK_Cv@eDNmCY_Bo@eBiAmFsEyJkIcPmM_D}DcAkAiG}HsBwB{CqDcAg@_AFi@Ve@|@]hBMjBs@zD_AnDgD`KcDhKeEpMs@vAqAlB{AnE,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,MTA Bridges & Tunnels,4456476,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
338,0,0,-101,1/8/2019 16:43,4616255,"40.81376,-73.93128 40.8127206,-73.9316 40.8121104,-73.93169 40.81148,-73.93161 40.81091,-73.931261 40.81044,-73.93079 40.8082604,-73.927901 40.80772,-73.9269 40.80653,-73.923971 40.80503,-73.92024 40.8037906,-73.917471 40.8036,-73.916931 40.803411,-73.915",_mbxFnufbMnE~@xBP|BOpBeA|A}ArLaQjBgElFiQjHiVvFiPd@kBd@_EB{DQcBi@uB{@cCcEmL??wCcI_AyCgEwMo@wAa^{j@eGiJcAiAyB}Bya@gc@_A{@sFgJcC}CK_@cGm{@uAmS,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,NYC_DOT_LIC,4616255,Bronx,MDE N RFK Bridge - 142nd St
440,55.3,138,0,1/2/2019 23:43,4329483,"40.5264504,-74.27001 40.52568,-74.267851 40.52528,-74.26585 40.52492,-74.26286 40.5246206,-74.260011 40.5243004,-74.25713 40.52432,-74.254681 40.5243904,-74.253171 40.5245704,-74.25105 40.5256,-74.243941 40.52514,-74.24127 40.5253105,-74.237981 40.5254706",iijvFpzhdMxCoLnAoKfAuQz@yP~@_QCiNMmHc@gLuAmk@[uOa@qS_@eN_@sMc@wP,BBBBBBBBBBBBBBB,NYC_DOT_LIC,4329483,Staten Island,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET
338,0,0,-101,12/28/2018 7:38,4616255,"40.81376,-73.93128 40.8127206,-73.9316 40.8121104,-73.93169 40.81148,-73.93161 40.81091,-73.931261 40.81044,-73.93079 40.8082604,-73.927901 40.80772,-73.9269 40.80653,-73.923971 40.80503,-73.92024 40.8037906,-73.917471 40.8036,-73.916931 40.803411,-73.915",_mbxFnufbMnE~@xBP|BOpBeA|A}ArLaQjBgElFiQjHiVvFiPd@kBd@_EB{DQcBi@uB{@cCcEmL??wCcI_AyCgEwMo@wAa^{j@eGiJcAiAyB}Bya@gc@_A{@sFgJcC}CK_@cGm{@uAmS,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,NYC_DOT_LIC,4616255,Bronx,MDE N RFK Bridge - 142nd St
206,37.28,315,0,12/22/2018 15:47,4362252,"40.7889706,-73.790541 40.7889404,-73.789571 40.78923,-73.78775 40.78958,-73.78552 40.7896406,-73.78466 40.78952,-73.7821 40.7893705,-73.78109 40.78911,-73.77983 40.7886504,-73.778501 40.78822,-73.77755 40.78766,-73.776491 40.7871504,-73.77579 40.78654,-73",ar}wFzekaMDaEy@kJeA}LKkDV_O\iEr@{FzAiGtA}DnBsEdBkCxBmCjE_E|FwEzG_GhMyMzE}CfJmDnKmEtImFjG{FnLgOlCqCtDiCnI_DxQyE|CaBnGsGpBeD~A}DpFsV`CgG~BaEtFqGxAeBzBiFtA{Ft@oHS_CwAmDiBuDa@oA}OyZcAaDoA}EmBwHiBwEgHkMaBoDsAmEaBiHk@{E,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,NYC-DOT-Region 10,4362252,Queens,CIP N LIE ramp - TNB
435,59.65,102,0,12/16/2018 23:38,4616198,"40.62102,-74.168861 40.6212304,-74.16992 40.6212304,-74.170961 40.6206306,-74.173561 40.6197105,-74.175091 40.6188605,-74.17597 40.61693,-74.1773 40.60685,-74.183361 40.60437,-74.18531 40.6020904,-74.187711",kx|vFjbucMi@rE?nEvBfOvDpHhDnD`KhG~}@zd@nNdKfM~M,BBBBBBBBBB,NYC_DOT_LIC,4616198,Staten Island,WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE
